Gene_name,amount_interactors,allinteractors,interactors_processed,IsBait
ABL2,16,CRK;NCK1;BAG1;BAG2;HSPA8;CALM1;PPP1R13L;HSPA1A;RIN1;ABI2;MAD2L1;BAG5;NCK2;CRKL;HSPA2;SORBS3,CRK;NCK1;BAG1;BAG2;HSPA8;CALM1;PPP1R13L;HSPA1A;RIN1;ABI2;MAD2L1;BAG5;NCK2;CRKL;HSPA2;SORBS3,N
CRH,7,CST4;C20orf70;CST5;UBR1;MAGEA9B;CST1;ZG16B,CST4;C20orf70;CST5;UBR1;MAGEA9B;CST1;ZG16B,Y
GINS3,8,CDC45;TIPIN;GINS1;CLSPN;MCM7;TIMELESS;SSRP1;GINS4,CDC45;TIPIN;GINS1;CLSPN;MCM7;TIMELESS;SSRP1;GINS4,Y
IRF2BP1,5,IRF2BP2;SCRIB;VGLL4;DCP1B;IRF2BPL,IRF2BP2;SCRIB;VGLL4;DCP1B;IRF2BPL,Y
C12orf53,10,GALNT12;PTPRF;FAM115C;PRUNE;ADCY9;LRRC16A;GALNT4;GALNT2;PTPRD;AKT3,GALNT12;PTPRF;FAM115C;PRUNE;ADCY9;LRRC16A;GALNT4;GALNT2;PTPRD;AKT3,Y
FAM115A,25,APBA3;CLEC14A;PPARD;CTAG1B;C14orf149;PPM1M;UBXN1;LYPD6B;SHARPIN;CIAPIN1;DNAJA2;CTAG2;NOTCH2NL;EXOSC5;LAGE3;NSUN5P1;ZNF398;SREK1IP1;GCG;DNAJB3;DDX41;GET4;GPR182;RPA2;GPRC5C,APBA3;CLEC14A;PPARD;CTAG1B;C14orf149;PPM1M;UBXN1;LYPD6B;SHARPIN;CIAPIN1;DNAJA2;CTAG2;NOTCH2NL;EXOSC5;LAGE3;NSUN5P1;ZNF398;SREK1IP1;GCG;DNAJB3;DDX41;GET4;GPR182;RPA2;GPRC5C,N
GTF2H1,16,FGL1;LRPAP1;GTF2H3;TTC9C;GTF2H2;TOMM34;ERCC3;GTF2H4;GTF2H5;PRPS1;LZTS2;MCC;ERCC5;MNAT1;CD6;GTF2H2D,FGL1;LRPAP1;GTF2H3;TTC9C;GTF2H2;TOMM34;ERCC3;GTF2H4;GTF2H5;PRPS1;LZTS2;MCC;ERCC5;MNAT1;CD6;GTF2H2D,Y
CYP2D6,1,C2orf28,C2orf28,Y
CDH12,12,CTNNA2;CTNNB1;PCDH1;CHEK2;CTNNA1;RBM14-RBM4;CDH8;PKP4;FRMD4A;PSEN1;CDH24;ARVCF,CTNNA2;CTNNB1;PCDH1;CHEK2;CTNNA1;RBM14-RBM4;CDH8;PKP4;FRMD4A;PSEN1;CDH24;ARVCF,Y
TBCE,21,TRIM11;HSPA1A;ZFC3H1;FGB;C12orf23;SERBP1;ANKRD39;CYP1A1;BAG2;RPL35A;CENPM;BHMT2;CLCC1;NFKBIA;SFTA2;DNAJB3;RNF7;HSPA8;IFT20;PRKY;DIRAS1,TRIM11;HSPA1A;ZFC3H1;FGB;C12orf23;SERBP1;ANKRD39;CYP1A1;BAG2;RPL35A;CENPM;BHMT2;CLCC1;NFKBIA;SFTA2;DNAJB3;RNF7;HSPA8;IFT20;PRKY;DIRAS1,N
EPHB2,11,HSPA5;SPSB4;HECTD1;EFNB1;FBXO45;LRRIQ1;PICK1;EPHA2;SPSB2;EFNB2;MYCBP2,HSPA5;SPSB4;HECTD1;EFNB1;FBXO45;LRRIQ1;PICK1;EPHA2;SPSB2;EFNB2;MYCBP2,Y
NMNAT3,3,HSPA8;SPTB;RBPMS,HSPA8;SPTB;RBPMS,Y
FBXO18,4,ILKAP;PRR3;FBXO18;MRRF,ILKAP;PRR3;MRRF,Y
RIPK1,33,FADD;HSPA1A;TNFRSF1A;SERPINB6;C22orf29;DUSP16;HERC2P9;INF2;CNOT10;D2HGDH;ABTB2;B4GALT2;NPRL2;MLF1;GPX7;RCCD1;HSPB8;METTL21B;TGM5;DCTN3;S100A6;KRT2;AP1M2;RAPGEF5;PSG11;FGL1;THSD4;UBXN6;ATG7;NTAN1;PRKY;DHFR;CCDC96,FADD;HSPA1A;TNFRSF1A;SERPINB6;C22orf29;DUSP16;HERC2P9;INF2;CNOT10;D2HGDH;ABTB2;B4GALT2;NPRL2;MLF1;GPX7;RCCD1;HSPB8;METTL21B;TGM5;DCTN3;S100A6;KRT2;AP1M2;RAPGEF5;PSG11;FGL1;THSD4;UBXN6;ATG7;NTAN1;PRKY;DHFR;CCDC96,N
ASAH1,3,BUB1B;CTPS2;CLTCL1,BUB1B;CTPS2;CLTCL1,Y
